63	68	8	62	64	54	57	56	66	1	7	70	14	52	28	55	13	67	59	51	6	0	5	53	65	12	73	9	61	69	
87	86	89	38	88	40	79	41	75	74	50	81	30	80	49	76	37	2	39	36	48	31	55	84	54	42	53	27	82	83	
12	73	20	19	70	21	0	14	11	71	15	66	72	44	60	9	10	64	61	69	65	59	67	4	63	13	80	18	1	68	
16	17	15	26	20	3	19	25	22	18	21	27	24	23	2	4	9	0	14	33	36	30	32	44	34	31	39	12	29	61	
89	39	86	40	87	83	88	38	81	50	80	75	79	43	41	2	36	37	47	82	42	48	76	44	85	74	49	84	31	30	
20	19	15	17	21	16	25	26	24	18	27	23	22	0	12	73	14	4	3	31	71	29	10	9	30	2	61	72	28	44	
20	19	15	21	17	73	61	11	18	0	16	26	58	12	60	14	27	59	9	25	24	10	72	4	71	23	66	22	70	1	
13	29	28	7	8	14	62	12	63	68	70	57	73	53	66	54	64	52	5	56	9	55	72	6	51	60	0	69	31	65	
49	50	36	37	40	34	47	35	41	38	44	18	48	87	39	43	89	2	42	45	3	4	1	46	26	79	76	80	54	65	
61	59	19	18	11	9	15	10	64	60	20	14	21	26	0	16	65	58	27	39	24	4	12	73	1	67	54	25	17	56	
79	80	87	50	86	89	41	83	81	38	42	39	43	48	49	44	40	37	84	47	82	88	75	85	76	45	78	36	31	10	
48	49	81	47	50	22	45	41	79	80	38	24	23	85	40	72	43	27	46	55	65	64	7	86	67	89	87	62	44	12	
86	81	48	38	79	87	50	88	80	53	89	47	54	40	55	68	57	45	41	51	85	56	49	37	52	67	43	27	59	72	
79	40	87	86	38	31	41	42	50	81	49	39	33	32	43	6	84	27	89	37	75	80	36	54	88	83	85	76	47	74	
17	16	3	18	36	26	2	15	34	4	25	35	22	49	0	37	19	1	40	27	44	39	21	47	41	24	38	50	23	20	
52	54	55	56	64	57	59	89	7	51	68	8	63	88	77	28	1	53	78	67	60	61	87	62	66	40	5	79	9	6	
47	50	45	36	37	34	40	49	35	48	43	46	22	85	44	80	76	89	88	79	81	87	41	42	32	84	39	55	38	2	
40	37	87	89	42	50	36	88	41	79	43	32	86	76	84	39	38	75	49	34	80	33	44	52	35	47	85	28	78	55	
27	25	26	19	10	31	33	4	39	15	16	12	21	38	24	14	9	2	30	6	17	86	29	0	81	75	20	3	74	32	
44	43	37	34	46	84	50	36	85	45	80	42	32	49	35	47	79	82	75	40	76	41	31	87	39	48	81	33	83	2	
62	68	70	63	52	71	51	53	73	56	66	7	57	13	28	8	54	60	69	72	64	12	5	55	6	67	1	14	29	0	
9	14	55	10	7	59	12	40	11	49	41	15	48	64	6	39	43	42	18	19	47	54	50	61	38	13	58	8	24	16	
86	81	83	87	79	89	88	31	74	80	38	39	75	82	84	41	85	30	40	50	48	27	76	10	24	43	42	78	47	33	
87	86	89	79	88	75	31	84	81	74	76	83	30	80	32	40	78	54	85	39	42	38	33	50	82	41	28	43	57	37	
88	82	84	30	32	89	86	87	74	83	42	75	76	39	33	31	85	28	37	79	40	2	52	9	57	56	81	61	44	43	
4	0	27	19	61	2	9	26	3	16	10	15	21	12	1	60	11	25	59	39	14	57	51	17	20	33	31	18	66	6	
32	42	84	33	43	83	31	79	85	10	5	39	82	9	6	44	41	75	29	8	40	76	11	87	37	7	14	80	28	12	
70	73	60	12	21	72	13	14	71	63	69	5	62	68	51	20	28	66	29	11	19	8	0	58	57	56	6	64	7	61	
